show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s8,movie,Sankofa,haile gerima,"kofi ghanaba, oyafunmike ogunlano, alexandra duah, nick medley, mutabaruka, afemo omilami, reggie carter, mzuri","united states, ghana, burkina faso, united kingdom, germany, ethiopia",2021-09-24,1993,tv-ma,125 min,"Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
s9,tv show,The Great British Baking Show,andy devonshire,"mel giedroyc, sue perkins, mary berry, paul hollywood",united kingdom,2021-09-24,2021,tv-14,9 Seasons,"British TV Shows, Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
s10,movie,The Starling,theodore melfi,"melissa mccarthy, chris o'dowd, kevin kline, timothy olyphant, daveed diggs, skyler gisondo, laura harrier, rosalind chao, kimberly quinn, loretta devine, ravi kapoor",united states,2021-09-24,2021,pg-13,104 min,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
s13,movie,Je Suis Karl,christian schwochow,"luna wedler, jannis niewöhner, milan peschel, edin hasanović, anna fialová, marlon boess, victor boccard, fleur geffrier, aziz dyab, mélanie fouché, elizaveta maximová","germany, czech republic",2021-09-23,2021,tv-ma,127 min,"Dramas, International Movies","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
s25,movie,Jeans,s. shankar,"prashanth, aishwarya rai bachchan, sri lakshmi, nassar",india,2021-09-21,1998,tv-14,166 min,"Comedies, International Movies, Romantic Movies","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
s28,movie,Grown Ups,dennis dugan,"adam sandler, kevin james, chris rock, david spade, rob schneider, salma hayek, maria bello, maya rudolph, colin quinn, tim meadows, joyce van patten",united states,2021-09-20,2010,pg-13,103 min,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
s29,movie,Dark Skies,scott stewart,"keri russell, josh hamilton, j.k. simmons, dakota goyo, kadan rockett, l.j. benet, rich hutchman, myndy crist, annie thurman, jake brennan",united states,2021-09-19,2013,pg-13,97 min,"Horror Movies, Sci-Fi & Fantasy","A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
s30,movie,Paranoia,robert luketic,"liam hemsworth, gary oldman, amber heard, harrison ford, lucas till, embeth davidtz, julian mcmahon, josh holloway, richard dreyfuss, angela sarafyan","united states, india, france",2021-09-19,2013,pg-13,106 min,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
s39,movie,Birth of the Dragon,george nolfi,"billy magnussen, ron yuan, qu jingjing, terry chen, vanness wu, jin xing, philip ng, xia yu, yu xia","china, canada, united states",2021-09-16,2017,pg-13,96 min,"Action & Adventure, Dramas","A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."
s42,movie,Jaws,steven spielberg,"roy scheider, robert shaw, richard dreyfuss, lorraine gary, murray hamilton, carl gottlieb, jeffrey kramer, susan backlinie, jonathan filley, ted grossman",united states,2021-09-16,1975,pg,124 min,"Action & Adventure, Classic Movies, Dramas","When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
